  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
56-062229 O US WY CHEYENNE         41 03 45.74N 105 00 29.14W WINDMILL           1 00499 07252 W 4 D W 2018WTW15898OE A 2023198 
56-062232 O US WY CHEYENNE         41 03 47.52N 105 01 57.43W WINDMILL           1 00499 07265 W 4 D W 2018WTW15894OE A 2023207 
56-052537 O US WY CHEYENNE         41 03 48.20N 105 04 09.99W WINDMILL           1 00499 07426 W 4 D W 2020WTW01855OE C 2022059 
56-062139 O US WY CHEYENNE         41 03 48.47N 104 58 49.89W WINDMILL           1 00499 07099 W 4 D W 2018WTW15862OE C 2023192 
56-052536 O US WY CHEYENNE         41 03 49.80N 105 04 52.88W WINDMILL           1 00499 07489 W 4 D W 2020WTW01852OE C 2022059 
56-062231 O US WY CHEYENNE         41 03 53.32N 105 01 23.80W WINDMILL           1 00499 07258 W 4 D W 2022WTW06840OE A 2023207 
56-052424 O US WY CHEYENNE         41 03 57.24N 105 06 13.20W WINDMILL           1 00499 07577 W 4 D W 2020WTW01837OE C 2021348 
56-052500 O US WY CHEYENNE         41 03 57.54N 105 02 46.32W WINDMILL           1 00499 07329 W 4 D W 2020WTW01913OE C 2021344 
56-052410 O US WY CHEYENNE         41 03 58.64N 105 07 22.23W WINDMILL           1 00499 07681 W 4 D W 2020WTW01822OE C 2021344 
56-052533 O US WY CHEYENNE         41 04 00.40N 105 09 02.01W WINDMILL           1 00499 07806 W 4 D W 2020WTW01806OE C 2022049 
56-052786 O US WY CHEYENNE         41 04 01.00N 105 01 01.90W WINDMILL           1 00499 07276 W 4 D W 2020WTW01917OE C 2022062 
56-062138 O US WY CHEYENNE         41 04 03.37N 104 59 17.53W WINDMILL           1 00499 07138 W 4 D W 2018WTW15861OE C 2023193 
56-052539 O US WY CHEYENNE         41 04 04.22N 105 04 07.01W WINDMILL           1 00499 07436 W 4 D W 2020WTW01854OE C 2022059 
