  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
29-022006 O US MO NEW MADRID       36 31 49.31N 089 36 02.07W FENCE              1 00004 00298 U 2 C U                A 2013346 
29-022007 O US MO NEW MADRID       36 31 49.32N 089 35 56.23W FENCE              1 00004 00299 U 2 C U                A 2013346 
29-020093 O US MO LAMPE            36 31 49.49N 093 25 52.25W TOWER              1 00256 01526 D 1 A N 2013ACE02365OE C 2013289 
29-021984 O US MO NEW MADRID       36 31 52.14N 089 36 02.60W POLE               1 00030 00323 U 2 C U                A 2013346 
29-021985 O US MO NEW MADRID       36 31 55.86N 089 36 03.08W POLE               1 00029 00323 U 2 C U                A 2013346 
29-001960 O US MO KIMBERLING CITY  36 31 58.00N 093 19 44.00W TOWER              1 00550 01714 M 5 E N 2013ACE02419OE C 2013344 
29-021987 O US MO NEW MADRID       36 31 59.19N 089 36 03.71W SIGN               1 00009 00304 U 2 C U                A 2013346 
29-021988 O US MO NEW MADRID       36 31 59.54N 089 36 03.55W POLE               1 00028 00323 U 2 C U                A 2013346 
29-021986 O US MO NEW MADRID       36 31 59.67N 089 36 02.09W FENCE              1 00004 00300 U 2 C U                A 2013346 
29-021992 O US MO NEW MADRID       36 31 59.68N 089 36 04.31W FENCE              1 00004 00299 U 2 C U                A 2013346 
29-021989 O US MO NEW MADRID       36 31 59.68N 089 36 03.73W FENCE              1 00004 00300 U 2 C U                A 2013346 
29-021991 O US MO NEW MADRID       36 31 59.94N 089 36 04.17W FENCE              1 00004 00299 U 2 C U                A 2013346 
29-021990 O US MO NEW MADRID       36 31 59.95N 089 36 03.87W FENCE              1 00004 00299 U 2 C U                A 2013346 
29-021993 O US MO NEW MADRID       36 32 00.41N 089 36 03.77W SIGN               1 00007 00302 U 2 C U                A 2013346 
29-021996 O US MO NEW MADRID       36 32 01.99N 089 36 04.59W POLE               1 00012 00308 U 2 C U                A 2013346 
29-000203 O US MO CAMPBELL         36 32 02.00N 090 02 55.00W TOWER              1 00281 00784 M 4 D N 0000_CE05351OE C 2014138 
29-021995 O US MO NEW MADRID       36 32 02.11N 089 36 04.84W BLDG               1 00015 00310 U 2 C U                A 2013346 
29-021994 O US MO NEW MADRID       36 32 02.59N 089 36 03.76W SIGN               1 00003 00300 U 2 C U                A 2013346 
29-021997 O US MO NEW MADRID       36 32 02.99N 089 36 04.30W BLDG               1 00022 00318 U 2 C U                A 2013346 
29-077063 O US MO THAYER           36 32 03.04N 091 32 09.63W TOWER              1 00309 01007 D 1 A N 2020ACE03685OE A 2021180 
29-021999 O US MO NEW MADRID       36 32 03.29N 089 36 04.24W POLE               1 00020 00315 U 2 C U                A 2013346 
29-021998 O US MO NEW MADRID       36 32 03.50N 089 36 04.65W SIGN               1 00005 00299 U 2 C U                A 2013346 
29-022000 O US MO NEW MADRID       36 32 04.89N 089 36 03.91W POLE               1 00003 00299 U 2 C U                A 2013346 
29-022001 O US MO NEW MADRID       36 32 04.90N 089 36 03.35W GEN UTIL           1 00005 00300 U 2 C U                A 2013346 
29-022004 O US MO NEW MADRID       36 32 04.90N 089 36 02.68W GEN UTIL           1 00005 00300 U 2 C U                A 2013346 
29-022005 O US MO NEW MADRID       36 32 04.92N 089 36 03.00W SIGN               1 00005 00300 U 2 C U                A 2013346 
29-022002 O US MO NEW MADRID       36 32 05.10N 089 36 03.38W TANK               1 00012 00307 U 2 C U                A 2013346 
29-022003 O US MO NEW MADRID       36 32 05.11N 089 36 02.72W TANK               1 00011 00306 U 2 C U                A 2013346 
29-021975 O US MO NEW MADRID       36 32 11.55N 089 36 03.01W NAVAID             1 00028 00323 U 2 C U                A 2013346 
29-061936 O US MO BRANSON          36 32 11.57N 093 19 29.82W TOWER              1 00290 01486 D 1 A N 2022ACE08534OE C 2023144 
29-021974 O US MO NEW MADRID       36 32 12.68N 089 36 02.38W FENCE              1 00004 00299 U 2 C U                A 2013346 
29-001149 O US MO NOEL             36 32 14.00N 094 29 00.00W TOWER              1 00323 01318 R 5 E M 1998ACE00393OE C 2001274 
29-051519 O US MO SOUTH WEST CITY  36 32 14.93N 094 37 03.55W TOWER              1 00310 01315 D 1 A N 2016ACE05022OE A 2017290 
29-020679 O US MO HOLLISTER        36 32 16.16N 093 11 38.17W TOWER              1 00175 01450 R 5 E N 2010ACE00098OE A 2012060 
29-021711 O US MO POINT LOOKOUT    36 32 18.90N 093 12 11.59W POLE               1 00047 01340 U 2 C U                A 2013325 
29-083360 O US MO EAGLE ROCK       36 32 19.61N 093 44 11.54W TOWER              1 00258 01359 D 1 A N 2021ACE00703OE A 2022223 
29-020212 O US MO SHELL KNOB       36 32 19.94N 093 34 31.10W TOWER              1 00280 01460 D 2 C N 2009ACE00762OE C 2009295 
29-021973 O US MO NEW MADRID       36 32 25.86N 089 35 56.31W FENCE              1 00004 00297 U 2 C U                A 2013346 
29-021972 O US MO NEW MADRID       36 32 25.93N 089 36 02.43W FENCE              1 00004 00297 U 2 C U                A 2013346 
29-054255 O US MO MALDEN           36 32 31.68N 089 57 41.34W TOWER              1 00320 00606 D 4 D N 2016ACE01396OE A 2018249 
29-001768 O US MO MALDEN           36 32 34.00N 090 01 50.00W TOWER              1 00240 00530 M 5 D N 2004ACE00578OE C 2004284 
29-080844 O US MO PINEVILLE        36 32 36.83N 094 11 03.15W TOWER              1 00256 01718 D 1 A N 2020ACE07724OE A 2022003 
29-002967 O US MO JANE             36 32 44.97N 094 19 04.40W TOWER              1 00310 01480 M 2 C N 2005ACE00679OE C 2012172 
29-001373 O US MO THAYER           36 32 49.00N 091 25 47.00W TOWER              1 00444 01444 R 5 E M 1988ACE00311OE C 2014138 
29-002806 O US MO PINEVILLE        36 32 51.19N 094 18 56.07W TOWER              1 00253 01462 M 1 A N 2011ACE01589OE C 2012188 
29-000588 O US MO THAYER           36 32 54.60N 091 25 41.90W TOWER              1 00345 01377 M 4 D N 2015ACE04358OE C 2016197 
29-023281 O US MO HOWARDVILLE      36 32 56.28N 089 35 19.15W BRIDGE             1 00050 00345 N 5 D N 2012ACE01616OE A 2014073 
29-024692 O US MO HOWARDVILLE      36 32 58.22N 089 35 59.22W BRIDGE             1 00030 00321 N 5 D N 2012ACE01617OE A 2014125 
29-021712 O US MO POINT LOOKOUT    36 33 07.50N 093 14 17.46W TOWER              1 00199 01474 U 2 C U                A 2013325 
29-020036 O US MO SOUTHWEST CITY   36 33 07.60N 094 35 54.46W TOWER              1 00349 01315 M 5 D N 2006ACE01055OE C 2008120 
29-000226 O US MO MALDEN           36 33 08.00N 089 58 32.00W TOWER              1 00193 00483 U 9 I U                C 2014138 
29-000740 O US MO NOEL             36 33 13.00N 094 29 30.00W STACK              1 00250 01064 N 5 E N                C 2014138 
29-000188 O US MO THAYER           36 33 22.00N 091 33 06.00W TOWER              1 00205 00925 R 4 D M 1997ACE00439OE C 2014138 
29-020283 O US MO RISCO            36 33 25.25N 089 49 00.98W TOWER              1 00265 00540 D 2 C N 2009ACE02028OE C 2010014 
29-020073 O US MO NOEL             36 33 31.07N 094 29 19.23W TOWER              1 00330 01326 M 1 A N 2009ACE00115OE C 2012131 
29-056619 O US MO NOEL             36 33 31.27N 094 29 18.45W TOWER              1 00335 01327 M 1 A N 2017ACE01299OE A 2019087 
29-001561 O US MO LAMPE            36 33 33.00N 093 26 17.00W TOWER              1 00200 01500 N 5 E N 1992ACE00125OE C 2014138 
29-006105 U US MO HOLLISTER        36 33 45.00N 093 15 33.00W TOWER              1 00101 01447 U     U                A 1976043 
29-001186 O US MO POINT LOOKOUT    36 33 47.00N 093 15 34.00W TOWER              1 00510 01856 R 4 D M 2000ACE02680OE C 2001134 
29-024696 O US MO PINEVILLE        36 33 47.70N 094 21 14.63W TOWER              1 00260 01332 D 1 A N 2014ACE01712OE A 2014129 
29-025330 O US MO HOLLISTER        36 33 50.53N 093 15 36.23W TOWER              1 00265 01587 D 1 A N 2022ACE08537OE C 2023215 
29-020048 O US MO EAGLE ROCK       36 33 50.74N 093 41 15.41W TOWER              1 00265 01391 D 4 D N 2019ACE01161OE C 2019094 
29-089219 U US MO HOLLISTER        36 34 04.00N 093 15 48.00W TOWER              1 00199 01445 N 4 D N 2023ACE07336OE A 2024022 
29-002251 O US MO MALDEN           36 34 06.00N 089 58 23.00W TOWER              1 00165 00455 N 5 D N 2000ACE01075OE C 2014138 
29-074410 O US MO PINEVILLE        36 34 08.49N 094 23 23.86W TOWER              1 00340 01412 D 1 A N 2018ACE04832OE A 2020183 
29-001704 O US MO MALDEN           36 34 13.90N 089 56 31.90W TOWER              1 00204 00479 D 5 D N 2004ACE02219OE C 2005016 
29-083732 O US MO MALDEN           36 34 14.55N 089 56 57.52W TOWER              1 00199 00475 N 1 A N 2019ACE01268OE A 2023059 
29-020885 O US MO NEELYVILLE       36 34 14.83N 090 31 10.68W TOWER              1 00194 00499 N 1 A N 2011ACE00089OE A 2012311 
29-076261 O US MO MALDEN           36 34 17.90N 090 00 33.64W TOWER              1 00198 00486 R 1 A P 2020ACE00067OE A 2021034 
29-006010 U US MO LILBOURN         36 34 20.00N 089 35 00.00W TOWER              1 00100 00415 U     U                A 1976043 
29-000587 O US MO NAYLOR           36 34 20.00N 090 35 38.00W TOWER              1 00303 00603 R 4 D M 1989ACE00206OE C 2014138 
29-020419 O US MO BRANDSVILLE      36 34 20.26N 091 48 06.85W TOWER              1 00274 01249 D 2 C N 2009ACE00986OE C 2010056 
29-050194 U US MO SHELL KNOB       36 34 25.69N 093 35 51.86W T-L TWR            1 00141 01098 N 4 D N 2011ACE00814OE A 2018027 
29-051521 O US MO PINEVILLE        36 34 27.20N 094 10 13.65W TOWER              1 00310 01659 D 1 A N 2016ACE05532OE A 2017290 
29-001771 O US MO QUINN            36 34 28.61N 090 18 05.79W TOWER              1 00320 00637 D 5 D N 2014ACE05088OE C 2015020 
29-050197 U US MO SHELL KNOB       36 34 40.88N 093 35 42.88W T-L TWR            1 00106 01157 N 4 D N 2011ACE00813OE A 2018027 
29-002710 O US MO SELIGMAN         36 34 41.00N 093 58 03.00W TOWER              1 00320 01844 D 2 C N 2003ACE00839OE A 2003215 
29-002863 O US MO SHELL KNOB       36 34 43.29N 093 35 24.49W TOWER              1 00365 01458 D 1 A N 2004ACE00813OE C 2004299 
29-072457 O US MO LAMPE            36 34 44.11N 093 28 06.45W TOWER              1 00260 01391 D 1 A N 2019ACE03344OE A 2020017 
29-002787 O US MO THAYER           36 34 48.80N 091 35 02.31W TOWER              1 00303 01161 D 1 A N 2003ACE02246OE C 2004299 
29-000847 O US MO LANAGAN          36 34 49.00N 094 28 36.00W TOWER              1 00262 01398 R 2 C M 2006ACE01050OE C 2006232 
29-001701 O US MO GAINESVILLE      36 34 53.05N 092 21 56.72W TOWER              1 00366 01289 D 4 D N 2018ACE04696OE C 2019032 
29-002893 U US MO ISABELLA         36 34 53.08N 092 36 59.48W TOWER              1 00350 01285 D 4 D N 2004ACE01533OE C 2014124 
29-002898 O US MO THEODOSIA        36 34 56.02N 092 43 34.28W TOWER              1 00350 01307 D 5 E N 2004ACE01531OE C 2008023 
29-020215 O US MO RISCO            36 34 57.36N 089 48 34.51W TOWER              1 00258 00534 D 1 A N 2015ACE00448OE C 2015091 
29-083228 O US MO HARDENVILLE      36 35 00.37N 092 19 25.96W TOWER              1 00358 01264 D 4 D N 2021ACE05803OE A 2022335 
29-002820 O US MO TECUMSEH         36 35 01.67N 092 20 02.89W TOWER              1 00350 01267 D 5 E N 2004ACE00839OE C 2004291 
29-083303 O US MO ISABELLA         36 35 04.82N 092 36 48.01W TOWER              1 00357 01326 D 1 A N 2021ACE04531OE A 2022200 
29-003056 O US MO HOLLISTER        36 35 05.70N 093 16 40.55W TOWER              1 00243 01453 D 4 D N 2023ACE01652OE C 2023159 
29-083338 O US MO GAINESVILLE      36 35 05.72N 092 31 55.73W TOWER              1 00357 01322 D 1 A N 2021ACE04530OE A 2023004 
29-020437 O US MO LILBOURNE        36 35 06.40N 089 36 54.80W TOWER              1 00246 00533 D 2 C N 2010ACE02917OE C 2012110 
29-020521 O US MO GAINESVILLE      36 35 08.61N 092 18 52.55W TOWER              1 00305 01166 D 2 C N 2011ACE00197OE A 2011285 
29-002892 O US MO GAINESVILLE      36 35 10.40N 092 31 36.03W TOWER              1 00350 01312 D 5 E N 2004ACE01532OE C 2008023 
29-001683 O US MO MALDEN           36 35 11.00N 090 04 05.00W TOWER              1 00578 01068 R 3 D M 1992ACE00477OE C 2014138 
29-002837 O US MO TECUMSEH         36 35 14.22N 092 15 16.58W TOWER              1 00350 01252 D 5 E N 2004ACE00837OE C 2004270 
29-020611 O US MO THEODOSIA        36 35 16.31N 092 41 14.28W TOWER              1 00310 01221 D 2 C N 2011ACE01250OE A 2012039 
29-000494 O US MO NEW MADRID       36 35 18.32N 089 33 08.51W TOWER              1 00350 00650 R 3 C P 2022ACE06372OE C 2023052 
29-000493 O US MO DONIPHAN         36 35 20.00N 090 49 10.00W TOWER              1 00503 01083 R 4 D M 2000ACE00454OE C 2014138 
29-025167 O US MO DONIPHAN         36 35 20.40N 090 49 11.20W TOWER              1 00346 00926 R 5 E P 2014ACE04338OE A 2016326 
29-054453 U US MO MALDEN           36 35 22.90N 089 58 06.70W TOWER              1 00060 00356 N 4 D N 2017ACE07243OE A 2018283 
29-000749 O US MO MALDEN           36 35 28.00N 090 03 58.00W TOWER              1 00289 00770 R 3 C M 1978ACE00388OE C 2014138 
29-002767 O US MO ISABELLA         36 35 29.67N 092 36 31.34W TOWER              1 00300 01302 D 2 C N 2003ACE01966OE C 2004263 
29-021710 O US MO HOLLISTER        36 35 30.98N 093 13 47.67W TOWER              1 00200 01409 N 4 D N 2022ACE08176OE C 2023268 
29-082125 O US MO TECUMSEH         36 35 31.17N 092 15 16.26W TOWER              1 00357 01262 D 4 D N 2021ACE05802OE A 2022174 
29-001636 O US MO GAINESVILLE      36 35 35.00N 092 28 21.00W TOWER              1 00383 01443 R 5 E M 1999ACE00559OE C 2014138 
29-000288 O US MO BRANSON          36 35 35.22N 093 18 37.65W TOWER              1 00300 01223 D 3 C N 2011ACE01692OE C 2012176 
29-002200 O US MO KOSHKONONG       36 35 38.00N 091 40 04.00W TOWER              1 00459 01358 M 5 E N 2000ACE01357OE C 2014138 
29-020920 O US MO BRANSON          36 35 38.59N 093 16 18.91W TOWER              1 00130 01138 N 2 C N 2012ACE03608OE A 2012366 
29-002877 O US MO GAINESVILLE      36 35 40.62N 092 25 37.01W TOWER              1 00285 01249 D 2 C N 2004ACE01263OE C 2004305 
29-082055 O US MO CASSVILLE        36 35 40.95N 093 50 18.00W TOWER              1 00254 01597 D 1 A N 2021ACE04473OE A 2022279 
29-002286 O US MO KIMBERLING CITY  36 35 44.14N 093 25 17.06W TOWER              1 00363 01582 D 2 C N 2003ACE02352OE C 2004312 
29-002842 O US MO GAINESVILLE      36 35 51.63N 092 25 35.23W TOWER              1 00350 01304 D 5 E N 2004ACE00838OE C 2004291 
29-076470 O US MO WASHBURN         36 35 56.96N 093 57 28.26W TOWER              1 00355 01807 D 1 A N 2019ACE02598OE A 2021082 
29-002964 O US MO WASHBURN         36 35 57.85N 093 57 21.79W TOWER              1 00350 01796 D 5 E N 2005ACE00772OE C 2008030 
29-006141 U US MO GAINESVILLE      36 35 58.00N 092 23 53.00W TOWER              1 00130 01210 U 4 D U 1971ACE00450OE C 2014124 
29-002765 O US MO SHARP            36 35 59.41N 092 13 44.33W TOWER              1 00250 01194 D 2 C N 2003ACE01999OE C 2004270 
29-083759 U US MO BRANSON          36 35 59.58N 093 15 43.64W T-L TWR            1 00095 00960 N 4 D N 2022ACE05645OE A 2022333 
29-083760 U US MO BRANSON          36 35 59.67N 093 15 39.58W T-L TWR            1 00095 00973 N 4 D N 2022ACE05644OE A 2022333 
29-083761 U US MO BRANSON          36 36 03.65N 093 15 39.45W T-L TWR            1 00095 00988 N 4 D N 2022ACE05643OE A 2023334 
29-002885 O US MO THEODOSIA        36 36 04.14N 092 48 47.38W TOWER              1 00311 01265 D 1 A N 2004ACE02124OE C 2004340 
29-024151 O US MO MALDEN           36 36 05.77N 089 58 59.49W TANK               1 00123 00418 U 2 C U                A 2014085 
29-083762 U US MO BRANSON          36 36 08.56N 093 15 39.29W T-L TWR            1 00092 01014 N 4 D N 2022ACE05642OE A 2023334 
29-023462 O US MO POINT LOOKOUT    36 36 09.00N 093 13 55.53W BLDG               1 00018 01098 U 2 C U                A 2014073 
29-023460 O US MO POINT LOOKOUT    36 36 09.61N 093 14 00.65W BLDG               1 00024 01101 U 2 C U                A 2014073 
29-023461 O US MO POINT LOOKOUT    36 36 10.16N 093 13 58.73W BLDG               1 00025 01105 U 2 C U                A 2014073 
29-023470 O US MO POINT LOOKOUT    36 36 12.44N 093 14 08.01W POLE               1 00032 01101 U 2 C U                A 2014073 
29-083763 U US MO BRANSON          36 36 12.72N 093 15 39.15W T-L TWR            1 00097 01028 N 4 D N 2022ACE05641OE A 2022333 
29-002063 O US MO NEW MADRID       36 36 13.00N 089 32 27.00W TOWER              1 00207 00509 D 1 A N 2001ACE01923OE C 2002007 
29-023469 O US MO POINT LOOKOUT    36 36 14.86N 093 14 08.69W CATENARY           1 00034 01103 U 2 C U                A 2014073 
29-023468 O US MO POINT LOOKOUT    36 36 16.77N 093 14 09.27W POLE               1 00034 01106 U 2 C U                A 2014073 
29-023459 O US MO POINT LOOKOUT    36 36 17.09N 093 14 11.44W BLDG               1 00025 01102 U 2 C U                A 2014073 
29-023467 O US MO POINT LOOKOUT    36 36 17.87N 093 14 10.60W POLE               1 00039 01116 U 2 C U                A 2014073 
29-023466 O US MO POINT LOOKOUT    36 36 18.34N 093 14 09.68W POLE               1 00044 01115 U 2 C U                A 2014073 
29-083764 U US MO BRANSON          36 36 18.71N 093 15 34.75W T-L TWR            1 00104 00979 N 4 D N 2022ACE05640OE A 2022333 
29-023458 O US MO POINT LOOKOUT    36 36 19.88N 093 14 11.67W BLDG               1 00018 01104 U 2 C U                A 2014073 
29-023464 O US MO POINT LOOKOUT    36 36 20.63N 093 14 10.42W POLE               1 00040 01117 U 2 C U                A 2014073 
29-023465 O US MO POINT LOOKOUT    36 36 20.64N 093 14 12.55W POLE               1 00031 01118 U 2 C U                A 2014073 
29-075953 O US MO BRANSON          36 36 21.60N 093 17 23.88W TOWER              1 00105 01046 N 1 A N 2020ACE03480OE A 2020346 
29-084120 U US MO BRANSON          36 36 23.51N 093 14 37.28W T-L TWR            1 00095 00979 N 4 D N 2022ACE05633OE A 2024017 
29-084119 U US MO BRANSON          36 36 23.64N 093 14 44.68W T-L TWR            1 00095 00942 N 4 D N 2022ACE05634OE A 2024017 
29-084118 U US MO BRANSON          36 36 23.77N 093 14 52.07W T-L TWR            1 00086 00901 N 4 D N 2022ACE05635OE A 2024017 
29-084117 U US MO BRANSON          36 36 23.91N 093 14 59.47W T-L TWR            1 00104 00883 N 4 D N 2022ACE05636OE A 2024017 
29-084116 U US MO BRANSON          36 36 24.04N 093 15 06.87W T-L TWR            1 00122 00868 N 4 D N 2022ACE05637OE A 2024011 
29-083804 U US MO BRANSON          36 36 24.18N 093 15 14.27W T-L TWR            1 00100 00891 N 4 D N 2022ACE05638OE A 2024011 
29-083803 U US MO BRANSON          36 36 24.31N 093 15 21.69W T-L TWR            1 00095 00915 N 4 D N 2022ACE05639OE A 2024011 
29-023457 O US MO POINT LOOKOUT    36 36 24.46N 093 14 11.63W POLE               1 00027 01114 U 2 C U                A 2014073 
29-023412 O US MO POINT LOOKOUT    36 36 24.98N 093 14 14.36W BLDG               1 00020 01097 U 2 C U                A 2014073 
