  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
17-006013 U US IL OLIVE BRANCH     37 12 50.00N 089 23 01.00W TOWER              1 00170 00790 U     U                C 2005345 
17-027648 O US IL METROPOLIS       37 12 52.22N 088 45 06.60W POLE               1 00043 00466 U 1 A U                A 2014014 
17-002162 O US IL JOPPA            37 12 59.00N 088 52 57.00W STACK              1 00232 00591 M 5 D N 1994AGL01091OE C 2014138 
17-026809 O US IL THEBES           37 12 59.70N 089 27 34.20W TOWER              1 00185 00593 N 5 E N 2012AGL10613OE A 2013322 
17-001847 O US IL JOPPA            37 13 05.00N 088 50 37.00W TOWER              1 00305 00685 R 5 D M 1988AGL01769OE C 2014138 
17-001746 O US IL OLIVE BRANCH     37 13 10.00N 089 21 56.00W TOWER              1 00230 00870 R 5 E M 1988AGL00027OE C 2014138 
17-002060 O US IL OLIVE BRANCH     37 13 11.00N 089 21 53.00W TOWER              1 00195 00835 N 5 E N                C 2014138 
17-002059 O US IL OLIVE BRANCH     37 13 16.00N 089 22 10.00W TOWER              1 00200 00820 S 5 D N                C 2014138 
17-000327 O US IL JOPPA            37 13 21.00N 088 52 00.00W TOWER              1 00312 00674 M 1 D N 2003AGL01369OE C 2003250 
17-027649 O US IL METROPOLIS       37 13 28.20N 088 45 02.30W POLE               1 00031 00458 U 1 A U                A 2014014 
17-001937 O US IL GOLCONDA         37 13 59.00N 088 29 55.00W TOWER              1 00363 00893 R 3 C M 1990AGL00601OE C 2014138 
17-020648 O US IL GRAND CHAIN      37 14 08.81N 088 52 33.06W TOWER              1 00249 00645 D 1 A N 2014AGL10209OE C 2014325 
17-027650 O US IL METROPOLIS       37 14 09.88N 088 44 13.01W POLE               1 00054 00517 U 1 A U                A 2014014 
17-003127 O US IL METROPOLIS       37 14 24.00N 088 42 57.00W TOWER              1 00255 00682 D 5 D N 2001AGL01472OE C 2003327 
17-001503 O US IL THEBES           37 14 29.00N 089 27 16.00W CATENARY           1 00218 00528 N 5 E N                C 2014138 
17-001598 O US IL MIDWAY           37 14 36.00N 088 36 05.00W TOWER              1 00295 00869 R 5 D U 1985AGL01069OE C 2014138 
17-075048 O US IL TAMMS            37 14 42.99N 089 16 01.58W TOWER              1 00260 00602 D 1 A N 2020AGL06255OE A 2020192 
17-001370 O US IL BAY CITY         37 14 50.00N 088 29 35.00W T-L TWR            1 00120 00585 R 3 C N 0068_CL00345OE C 2014138 
17-020121 O US IL TAMMS            37 15 02.18N 089 15 45.34W TOWER              1 00310 00650 D 2 C N 2012AGL09063OE C 2014027 
17-020650 O US IL GRAND CHAIN      37 15 34.96N 088 58 49.76W TOWER              1 00260 00695 D 1 A N 2022AGL07997OE C 2023142 
17-002050 O US IL ULLIN            37 16 12.00N 089 09 42.00W TOWER              1 00220 00570 R 5 D M 1988AGL01612OE C 2014138 
17-002761 O US IL METROPOLIS       37 16 27.00N 088 44 30.00W TOWER              1 00310 00720 D 2 C N 2000AGL09389OE C 2001183 
17-003989 O US IL ULLIN            37 16 40.10N 089 11 33.40W TOWER              1 00325 00664 M 5 D N 2007AGL01783OE C 2014324 
